"","iso3c","year","cancer","reproductive","religion","business","marriage","arts","migration","rape","war","literature","personal","rights","politics","sports","fashion","n.words","n"
"409","ETH",2003,0.0107921898162895,0.364639417201402,0.244113072633591,0.00564806667318054,0.122989385322418,0.00143366990844987,0.011756483153616,0.0423955033787607,0.0111138897881446,0.0122465543091245,0.0837254486938695,0.0519110646317283,0.0344673076832216,0.000685048119242967,0.00208289868696049,733,5
"410","ETH",2004,0.0351890689085001,0.501607954464548,0.00139854544311,0.00376701462264772,0.221296443173216,0.000889882664466932,0.00579926144199365,0.00104656907348669,0.00301526841259002,0.00183219110370073,0.194462463650593,0.00574950588257941,0.00137606696048081,0.00101794064689176,0.0215518235511949,615,1
"411","ETH",2005,0.013811007088008,0.571751447012333,0.00241648509994575,0.00363178820702253,0.279740188573081,0.00222709343373841,0.00464014038494953,0.00244450085022844,0.00258503842228473,0.0174112169735294,0.0874572659627691,0.00636572636444515,0.0030548094057549,0.000411329522002813,0.00205196269990685,340,1
"412","ETH",2006,0.0823503217659147,0.087881225494082,0.476604256327996,0.00588599806189458,0.089098964768856,0.00751503801268199,0.00488095405030467,0.0241187735896283,0.00626523178311398,0.0228515696657606,0.0581794626084027,0.0662576929540701,0.045973094262296,0.000563252531319055,0.0215741641236794,817,1
"413","ETH",2011,0.00692074808531523,0.595107764868941,0.002818260939507,0.0342837714846094,0.0243601389144299,0.0346061111351682,0.0179885608512608,0.00243801240562536,0.00426398161079929,0.0511169954535829,0.134563945736846,0.0395097026267252,0.0195516697246353,0.00860049128433926,0.023869844878215,473,1
"414","ETH",2012,0.00234779397965235,0.0866876930537082,0.0021313435474175,0.295125650748458,0.0214956422468882,0.0121340685501893,0.205078366522247,0.0157248111086684,0.00515674137044164,0.0266439615236277,0.101705020662107,0.0321954297521663,0.028601762073778,0.00494292380891032,0.16002879105174,642,1
"415","ETH",2013,0.00432877254234725,0.219460668882905,0.244955545995777,0.00633513241863901,0.221402760830292,0.00188575808273462,0.00292255513809851,0.0241114150091993,0.013185423221458,0.00296590694452124,0.135781840492793,0.0613489613129991,0.0294247544062032,0.0305050970454036,0.00138540767662957,990,1
"416","ETH",2014,0.0161091279068605,0.58206992548962,0.00428733206096849,0.00663813714277092,0.178322497173354,0.00392297404638858,0.00507233218492252,0.00897085586634955,0.00670248921849135,0.0281828984584498,0.0924588307932446,0.0146443107554896,0.0505230100292854,0.000467188880575686,0.00162808999322985,370,1
"417","FIN",1991,0.00287163649903162,0.00677153448624743,0.00293878195164377,0.391031259758697,0.00810624018406462,0.00604802088087352,0.0130161114475334,0.00239149023437099,0.00347764642127317,0.00807731317527226,0.0503930692768346,0.0629567563120687,0.429126860630934,0.00943960761186597,0.00335367112928926,58,1
"418","FIN",1992,0.00380111165875345,0.007931029287129,0.0634977106882313,0.0260959017795219,0.0477302914810696,0.00994709465324832,0.0443305252921084,0.0043575959017357,0.0328546979098041,0.0266946297593359,0.138356053247313,0.0499090259497886,0.0830522150426158,0.035755129943518,0.425686987405827,531,2
"419","FIN",1999,0.00425407638464858,0.0040939821101516,0.00765449011508085,0.0320170120788654,0.0146898148489536,0.0974319109021645,0.121221951478905,0.0231091210872385,0.00845149368509787,0.0124163054272997,0.133947187606512,0.0949364203477528,0.350137208325393,0.00725032571013156,0.0883886998918052,214,1
"420","FIN",2003,0.251685706778728,0.00433423340670439,0.000972049048781837,0.0938813623114684,0.00553941237624525,0.00142884835313635,0.00629126444950592,0.001087288378822,0.00208754730041411,0.00212156082245037,0.0928830563082869,0.014038241450299,0.507242754285944,0.0136788398607027,0.0027278348685115,503,3
"421","FIN",2004,0.00488364004216927,0.000476212418505428,0.000513115391847861,0.0199829360022789,0.00400071686828348,0.739204121230952,0.00289204851318558,0.000247068259559081,0.000536145468745879,0.0430081007890661,0.0358262669765173,0.00459453437605688,0.00172532229492441,0.00210300802179337,0.140006763346115,929,2
"422","FIN",2006,0.643221899241638,0.0428492050307532,0.00383153355887221,0.0299781508552922,0.0112103115115176,0.00361664961212998,0.00976631883370953,0.051012933541346,0.00831418812795756,0.00637201553275215,0.0410964057352596,0.0646781147947612,0.0728900212130773,0.00956860348657794,0.00159364892435541,40,1
"423","FIN",2007,0.00329974707362811,0.00131371814261327,0.00549612533054018,0.0203587079968696,0.070662197206064,0.006677939763289,0.00729068931340497,0.00149622633949594,0.00297360299679084,0.00874470642432273,0.240465419121761,0.0133908054446826,0.0102104068803493,0.00955221090167608,0.598067497064513,320,1
"424","FIN",2008,0.00150729656959582,0.000476640696923537,0.00111542292709434,0.00464197692533396,0.0539059600571022,0.570579868620459,0.0086335962230869,0.00182424652124584,0.0129700576131765,0.12591746149442,0.0667374364173602,0.00173979657988021,0.00190359627560286,0.00905622734774399,0.138990415730975,525,1
"425","FIN",2010,0.0245273036475153,0.00862534238739634,0.00266886611090839,0.0532937912932311,0.0576775055103747,0.312867536508836,0.0102879099031319,0.00515712975329447,0.00268338403991246,0.438208309922079,0.049558038485231,0.0156142285996727,0.0118385899258856,0.00224795303205224,0.00474411088047841,262,1
"426","FRA",1980,0.0015745777315343,0.00178790387702566,0.00614415692840863,0.0315196619527782,0.0877304672363162,0.05736296624118,0.0045009053882705,0.00837610370419178,0.0421815226589923,0.429347554736168,0.099839117490483,0.0421353408409773,0.139253981864437,0.00571160911061339,0.0425341302386239,786,3
"427","FRA",1981,0.00380076748736892,0.00474643201910781,0.0105774392507722,0.0423800965741519,0.0222633987928228,0.160838306601413,0.0366283334743847,0.00705082824509537,0.0199803010490333,0.0842716401031373,0.0918663680724019,0.0184212342072511,0.162648279210335,0.0928087561130627,0.241717818799662,2857,9
"428","FRA",1982,0.198179640203312,0.0233348746878987,0.000663731298669611,0.0833335673159377,0.0144284417294651,0.0138641864932303,0.00641847374168245,0.00043964325688201,0.00296387830675216,0.0189671552108343,0.10658705310053,0.0231100897866163,0.00663834104954812,0.00486511679311898,0.496205807025523,3387,8
"429","FRA",1983,0.00159190725358406,0.00121760480142867,0.00190267812683529,0.0155844940934039,0.0602211973405604,0.107115213032631,0.00560149985495691,0.00673008964468693,0.0105837726414372,0.199373843915297,0.0949297470380408,0.0320318943141898,0.0320269069762052,0.00645581207376353,0.424633338892979,2616,9
"430","FRA",1984,0.00057359559407865,0.000346272815147226,0.00151495019944723,0.00519682927808441,0.0178367570757065,0.00310911218669617,0.00268541065869389,0.000497582166281405,0.000949060083498531,0.00376108548382707,0.104246991743897,0.0466660295174115,0.0172502259085094,0.00827291205274497,0.787093185235976,1045,2
"431","FRA",1985,0.0393209845415557,0.0150257967094866,0.0113020071903639,0.046798329209901,0.0603326432841766,0.0522242562252123,0.0211657473125211,0.0034900474669522,0.00720387748209039,0.207688594485638,0.130319307857285,0.0979810621376552,0.0342750366471083,0.0663571958268211,0.206515113623232,3212,7
"432","FRA",1986,0.112788367671999,0.0198099362078736,0.00813014401621238,0.0140931281610309,0.039577988242046,0.0153434550552747,0.007199439802496,0.0132058706568167,0.0156334960641422,0.299235724090756,0.098301509387438,0.0558208646949216,0.0387464161956476,0.0916720335241594,0.170441626229186,3583,10
"433","FRA",1987,0.00996695723215959,0.00105227593299953,0.00348590988588511,0.0471706642584534,0.0609819263739594,0.071589618671426,0.0156562983635744,0.0246227187506096,0.0137147693262233,0.365842621774064,0.107204767747125,0.0368770569031557,0.0330455730496317,0.0427380581769756,0.166050783553758,1641,5
"434","FRA",1988,0.22216042077044,0.0868084754687188,0.0148885410884032,0.0188606773488776,0.0294949337431079,0.0328286340515193,0.0184958481257038,0.006140530092996,0.00345652121680169,0.0393908939994862,0.0715218579145836,0.0332666356731781,0.105193036682458,0.0123391175691536,0.305153876254573,3696,9
"435","FRA",1989,0.205292373994281,0.0345643122917656,0.0395214768548338,0.0405243814434653,0.0180798062224144,0.106044423429434,0.0125731671084855,0.00889697231944299,0.00968636838160901,0.0309703731267908,0.0633733930342643,0.0240160139437448,0.107964820209945,0.015417576931592,0.283074540707932,3356,5
"436","FRA",1990,0.02473244372636,0.208526547814455,0.00147756285833557,0.141283410184265,0.0190350587266464,0.0178886545650465,0.040378523840709,0.00789565441775245,0.00181089462429254,0.186095650447048,0.093963981404639,0.0271448235072969,0.0136207292449948,0.0213736008270181,0.194772463811141,1507,5
"437","FRA",1991,0.151008786942294,0.0307492519716667,0.0043701465059632,0.043222823450647,0.0596839324690694,0.0190278688889977,0.024274309449854,0.0109171118064202,0.00730109624047692,0.137729506205473,0.118207087625234,0.0593359015139993,0.217545086654188,0.00614765856584886,0.110479431709867,3105,10
"438","FRA",1992,0.0631545734474822,0.00955165963401772,0.005464656409346,0.0564571589141214,0.0397389897648089,0.0248498889792079,0.00773719821185862,0.0602555137177211,0.00715093274399108,0.0843625590296217,0.0869816542251651,0.187897716415952,0.180252684446004,0.0193551766386708,0.16678963742203,1178,6
"439","FRA",1993,0.100908029007124,0.0171404409585272,0.00307742817551114,0.0104668694736032,0.0870653205810813,0.137059415155769,0.035509175812476,0.01670460781964,0.0386636819957262,0.14710275343446,0.103525611569545,0.0246815308985174,0.0343526261219467,0.00501748666970635,0.238725022326366,2080,6
"440","FRA",1994,0.13647013983953,0.0653099830983574,0.0256882959492906,0.0221723048889624,0.065728481556012,0.157304690020694,0.00687353020054078,0.013103098372432,0.00485901319999199,0.0798470774601498,0.0722979460302685,0.0859290950556852,0.0952261953649944,0.0091388689349295,0.160051280028161,2382,9
"441","FRA",1995,0.0109482391387658,0.00303156436022693,0.0521127609320725,0.0101060339464847,0.0428845458253083,0.198668237868875,0.00392829256083714,0.0162481198083917,0.0270860516276905,0.0335302966002144,0.0642845236126133,0.0965356105225404,0.0634816467168998,0.0650671796471691,0.312086896831911,1420,5
"442","FRA",1996,0.00437744121852275,0.0289841197739405,0.0367284939213596,0.0249122260321936,0.283963599466435,0.0122781585320494,0.09120233464125,0.0183638096185469,0.00509006145521588,0.0375377026315169,0.138048440175669,0.0864580530177688,0.0138271907511954,0.00541306676901891,0.212815301995317,1582,6
"443","FRA",1997,0.512962817044333,0.231805966753217,0.0108318997190827,0.00752874458154135,0.0172055158086669,0.00446677675755759,0.00266843645257368,0.00579785781984857,0.00128102035802118,0.00458592979311833,0.111378414759314,0.0780871047243111,0.00673421182039189,0.00341915412903577,0.00124614947898764,750,2
"444","FRA",1998,0.0972954171939055,0.194949238679293,0.0018643326030601,0.0202377924416581,0.00777023843364042,0.0137169182059402,0.00377085920842121,0.00848347287783423,0.0018040973225359,0.0503960484084309,0.0477082167341745,0.0522228375142413,0.0179492995552883,0.00866195383232697,0.473169276989249,1070,4
"445","FRA",1999,0.0228367843320726,0.0227824826420205,0.0424292816739314,0.0639805225919122,0.0369044657824127,0.0714490883454524,0.0738468966268786,0.0477393552584703,0.0122692688157707,0.124915986977051,0.169905692013436,0.0688295585617531,0.157959811457761,0.0139156964307992,0.0702351084902783,1359,4
"446","FRA",2000,0.191207269419522,0.115857377478684,0.00266523641780041,0.029732426161224,0.0642533543990693,0.113707213096592,0.0444304166964216,0.0335497548196725,0.0858991112996272,0.0451860405348646,0.161510544884786,0.0246217835822367,0.0723873068891224,0.00562662768983162,0.00936553663054652,1680,6
"447","FRA",2001,0.00672325183088267,0.0099446144132184,0.00281976686169434,0.11884192274756,0.0961983252515924,0.014845088769805,0.0130998324968188,0.0113307451068915,0.0123353765928892,0.143887998927882,0.236769600524135,0.121370794159553,0.154528920729699,0.0220562260611453,0.0352475355262344,4636,10
"448","FRA",2002,0.00243921679233859,0.00291348884432287,0.00215823186790872,0.0774397652833493,0.0192162519357698,0.0404564398551898,0.00606064418049082,0.00394053726760829,0.00549355076616198,0.0550875497073677,0.136807724825655,0.0816711768932291,0.215256442591102,0.0772346560545611,0.273824323134945,1145,4
